formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C8H16N4O3S	[M + H]+	C8H17N4O3S+	11,510	11,510	0,000	5	0,528	-4,026	4,026	1,293		249,102	1309	585864005059798587	585822228629845825	1871
1	C19H32N4O4S	[M + H]+	C19H33N4O4S+	86,958	83,926	3,031	37	0,791	-0,922	3,574	-1,483		413,221	1309	585863985388512407	585822228713731910	1873
1	C21H28N6O3S	[M + H]+	C21H29N6O3S+	88,677	88,677	0,000	42	0,770	2,781	3,658	0,817		445,202	1312	585864018146027156	585822228768257867	1880
1	C43H64N10O9	[M + H]+	C43H65N10O9+	54,863	54,863	0,000	42	0,749	0,575	3,121	-7,903		865,486	1312	585864161754805876	585822228822783824	1885
1	C36H50N6O8S	[M + H]+	C36H51N6O8S+	65,231	65,231	0,000	39	0,759	0,906	3,163	1,004		727,349	1314	585864288431175638	585822228889892693	1891
1	C12H17Cl6NO5	[M + H]+	C12H18Cl6NO5+	35,970	35,970	0,000	13	0,246	-4,211	4,752	-8,746		465,927	1317	585864639066607009	585822228952807258	1894
1	C29H48N6O11	[M + H]+	C29H49N6O11+	91,611	91,611	0,000	47	0,816	-3,348	4,433	-6,242		657,341	1317	585864684029546485	585822229019916127	1896
1	C28H48N4O14	[M + H]+	C28H49N4O14+	110,489	108,167	2,322	44	0,795	-1,985	5,020	-3,891		665,321	1317	585864648717700765	585822229066053476	1897
1	C19H36N4O8	[M + H]+	C19H37N4O8+	119,395	117,843	1,552	44	0,762	-2,175	3,597	-2,205		449,260	1319	585864646511496797	585822229112190825	1904
1	C31H50N8O7	[M + H]+	C31H51N8O7+	73,481	73,481	0,000	47	0,823	-1,821	4,717	7,164		647,392	1319	585865058245352472	585822229162522478	1907
1	C25H36N6O4	[M + H]+	C25H37N6O4+	87,150	85,986	1,165	43	0,730	0,564	4,009	-4,843		485,285	1322	585864706632651375	585822229208659827	1915
1	C45H72N14O10	[M + H]+	C45H73N14O10+	97,178	95,901	1,276	47	0,828	1,995	2,912	-1,331		969,562	1322	585865098061880393	585822229271574392	1917
1	C21H26N4O3	[M + H]+	C21H27N4O3+	101,235	99,733	1,503	36	0,710	0,066	5,142	6,871		383,210	1327	585864712198492847	585822229342877565	1923
1	C45H48N4O9	[M + H]+	C45H49N4O9+	63,644	63,644	0,000	37	0,724	-0,687	3,782	1,678		789,351	1327	585864921116777154	585822229397403522	1924
1	C29H36N8O3	[M + H]+	C29H37N8O3+	95,426	95,426	0,000	38	0,716	-3,609	4,938	0,397		545,299	1330	585864750014337976	585822229464512391	1927
1	C14H27N5O6S	[M + H]+	C14H28N5O6S+	100,935	100,935	0,000	47	0,793	-0,076	3,944	2,433		394,176	1333	585865667975520645	585822229544204172	1929
